,action_date,action_date_fiscal_year,award_description,award_id,award_piid_ref,award_type,award_type_code,awarding_agency_code,awarding_agency_name,awarding_office_code,awarding_office_name,awarding_sub_agency_code,awarding_sub_agency_name,contract_award_unique_key,dollars_obligated,last_modified_date,naics_code,naics_description,number_of_actions,parent_award_agency_id,parent_award_agency_name,plop_city,plop_congressional_district,plop_country_code,plop_country_name,plop_county,plop_state,plop_state_code,plop_zip,pop_end_date,pop_potential_end_date,pop_start_date,recipient_city,recipient_duns,recipient_name,recipient_zip_code,year,plop_zip_5,recipient_zip_code_5
15074,2020-09-22 00:00:00,2020,"ADEE DEQ HAS REQUESTED EPA TO SAMPLE 22 (ONSITE AND OFFSITE) GROUNDWATER MONITORING WELLS FOR CHLORINATED SOLVENTS, AND ALL SAMPLES WILL BE ANALYZED FOR VOCS. AGI IS NOT A GPRA FACILITY.  UP TO 7 GROUNDWATER MONITORING WELLS WILL BE PLUGGED AND ABAND",68HERH19D0021,68HE0420F0079,DELIVERY ORDER,C,68,ENVIRONMENTAL PROTECTION AGENCY (EPA),68HE04,REGION 4 CONTRACTING OFFICE,6800,ENVIRONMENTAL PROTECTION AGENCY,CONT_AWD_68HE0420F0079_6800_68HERH19D0021_6800,91978.07,2020-09-22 14:37:55,541620,ENVIRONMENTAL CONSULTING SERVICES,1,6800,ENVIRONMENTAL PROTECTION AGENCY,BALD KNOB,2.0,USA,UNITED STATES,WHITE,ARKANSAS,AR,720103128,2023-12-05 00:00:00,2023-12-05 00:00:00,2020-09-22 00:00:00,LAKEWOOD,825211824,TOEROEK ASSOCIATES INC,802281552,2020,72010,80228
15280,2018-07-06 00:00:00,2018,THE PURPOSE OF THIS MODIFICATION IS TO EXTEND THE PERIOD OF PERFORMANCE TO 6/30/2018 AND TO,EPW13002,0018,DELIVERY ORDER,C,68,ENVIRONMENTAL PROTECTION AGENCY (EPA),68HE0S,SF PROC OPS DIVISION (SRRPOD),6800,ENVIRONMENTAL PROTECTION AGENCY,CONT_AWD_0018_6800_EPW13002_6800,64128.25,2018-07-06 14:38:19,541620,ENVIRONMENTAL CONSULTING SERVICES,1,6800,ENVIRONMENTAL PROTECTION AGENCY,DENVER,7.0,USA,UNITED STATES,JEFFERSON,COLORADO,CO,802280005,2018-11-15 00:00:00,2018-11-15 00:00:00,2018-07-06 00:00:00,LAKEWOOD,825211824,TOEROEK ASSOCIATES INC,802281552,2018,80228,80228
15980,2018-04-05 00:00:00,2018,IGF::CL::IGF CLOSELY ASSOCIATED - TECHNICAL SUPPORT FOR NATIONAL AQUATIC RESOURCE SURVEYS: 2018-2019 NATIONAL RIVERS AND STREAMS ASSESSMENT: LOGISTICS SUPPORT AND TRAINING,EPC16008,0007,DELIVERY ORDER,C,68,ENVIRONMENTAL PROTECTION AGENCY (EPA),68HE0C,CINCINNATI PROC OPS DIVISION (CPOD),6800,ENVIRONMENTAL PROTECTION AGENCY,CONT_AWD_0007_6800_EPC16008_6800,500000.0,2018-04-05 08:09:36,541620,ENVIRONMENTAL CONSULTING SERVICES,1,6800,ENVIRONMENTAL PROTECTION AGENCY,TRAVERSE CITY,1.0,USA,UNITED STATES,GRAND TRAVERSE,MICHIGAN,MI,496863458,2018-05-17 00:00:00,2018-05-17 00:00:00,2018-04-05 00:00:00,TRAVERSE CITY,800884181,GREAT LAKES ENVIRONMENTAL CENTER INC,496863458,2018,49686,49686
16886,2018-07-16 00:00:00,2018,8(A) ENVIRONMENTAL AND BRAC PUBLIC AFFAIRS SUPPORT,FA890318C0020,FA890318C0020,DEFINITIVE CONTRACT,D,97,DEPARTMENT OF DEFENSE (DOD),FA8903,FA8903  772 ESS PK,5700,DEPT OF THE AIR FORCE,CONT_AWD_FA890318C0020_9700_-NONE-_-NONE-,23900.0,2018-07-17 15:36:10,541620,ENVIRONMENTAL CONSULTING SERVICES,1,5700,DEPARTMENT OF DEFENSE (DOD),JBSA LACKLAND,20.0,USA,UNITED STATES,BEXAR,TEXAS,TX,782366432,2019-07-12 00:00:00,2019-07-12 00:00:00,2018-07-16 00:00:00,CATOOSA,79089292,CHEROKEE NATION MANAGEMENT & CONSULTING LLC,740153235,2018,78236,74015
17233,2018-04-18 00:00:00,2018,NR-ARD-OPTION TASK 1-URGENT SERVICE EVER,INP16PC00320,140P2118F0109,DELIVERY ORDER,C,14,DEPARTMENT OF THE INTERIOR (DOI),140P21,WASHINGTON CONTRACTING OFFICE,1443,NATIONAL PARK SERVICE,CONT_AWD_140P2118F0109_1443_INP16PC00320_1443,9846.0,2018-04-18 14:17:27,541620,ENVIRONMENTAL CONSULTING SERVICES,1,1443,NATIONAL PARK SERVICE,HOMESTEAD,26.0,USA,UNITED STATES,MIAMI-DADE,FLORIDA,FL,330340001,2018-07-31 00:00:00,2018-07-31 00:00:00,2018-04-18 00:00:00,FORT COLLINS,102550670,AIR RESOURCE SPECIALISTS INC,805254429,2018,33034,80525
18203,2020-03-13 00:00:00,2020,INCREMENT FUNDING,68HERH19D0021,68HE0520F0001,DELIVERY ORDER,C,68,ENVIRONMENTAL PROTECTION AGENCY (EPA),68HE05,REGION 5 CONTRACTING OFFICE,6800,ENVIRONMENTAL PROTECTION AGENCY,CONT_AWD_68HE0520F0001_6800_68HERH19D0021_6800,20000.0,2020-03-13 10:09:36,541620,ENVIRONMENTAL CONSULTING SERVICES,1,6800,ENVIRONMENTAL PROTECTION AGENCY,CHICAGO,7.0,USA,UNITED STATES,COOK,ILLINOIS,IL,606061428,2023-12-05 00:00:00,2023-12-05 00:00:00,2019-10-03 00:00:00,LAKEWOOD,825211824,TOEROEK ASSOCIATES INC,802281552,2020,60606,80228
18240,2020-04-03 00:00:00,2020,"AWARD FOR CORRECTIVE ACTION SUPPORT FOR DPH ENVIRONMENTAL RESPONSE TRUST FLINT, MI",68HERH19D0021,68HE0520F0049,DELIVERY ORDER,C,68,ENVIRONMENTAL PROTECTION AGENCY (EPA),68HE05,REGION 5 CONTRACTING OFFICE,6800,ENVIRONMENTAL PROTECTION AGENCY,CONT_AWD_68HE0520F0049_6800_68HERH19D0021_6800,25676.25,2020-04-03 15:01:23,541620,ENVIRONMENTAL CONSULTING SERVICES,1,6800,ENVIRONMENTAL PROTECTION AGENCY,LAKEWOOD,7.0,USA,UNITED STATES,JEFFERSON,COLORADO,CO,802281513,2020-09-30 00:00:00,2020-09-30 00:00:00,2020-04-03 00:00:00,LAKEWOOD,825211824,TOEROEK ASSOCIATES INC,802281552,2020,80228,80228
18779,2018-07-10 00:00:00,2018,TECHNICAL SUPPORT FOR DEVELOPING AND APPROVING WATER QUALITY STANDARDS AND CRITERIA CLOSELY ASSOCIATED - IGF::CL::IGF,EPC16017,EPC16017,DEFINITIVE CONTRACT,D,68,ENVIRONMENTAL PROTECTION AGENCY (EPA),68HE0C,CINCINNATI PROC OPS DIVISION (CPOD),6800,ENVIRONMENTAL PROTECTION AGENCY,CONT_AWD_EPC16017_6800_-NONE-_-NONE-,70000.0,2018-07-10 16:33:02,541620,ENVIRONMENTAL CONSULTING SERVICES,1,6800,ENVIRONMENTAL PROTECTION AGENCY (EPA),SANDWICH,9.0,USA,UNITED STATES,BARNSTABLE,MASSACHUSETTS,MA,025635301,2019-07-31 00:00:00,2021-07-31 00:00:00,2018-07-10 00:00:00,SANDWICH,618387484,HORSLEY WITTEN GROUP INC,025635301,2018,02563,02563
19071,2019-02-26 00:00:00,2019,CIF SUPPORT SERVICES LABOR,N0018916C0042,N0018916C0042,DEFINITIVE CONTRACT,D,97,DEPARTMENT OF DEFENSE (DOD),N00189,NAVSUP FLT LOG CTR NORFOLK,1700,DEPT OF THE NAVY,CONT_AWD_N0018916C0042_9700_-NONE-_-NONE-,2386795.0,2019-02-26 12:52:50,541614,"PROCESS, PHYSICAL DISTRIBUTION, AND LOGISTICS CONSULTING SERVICES",1,1700,DEPARTMENT OF DEFENSE (DOD),PORT HUENEME,26.0,USA,UNITED STATES,VENTURA,CALIFORNIA,CA,930411107,2020-03-21 00:00:00,2021-03-21 00:00:00,2019-02-13 00:00:00,CATOOSA,79089292,CHEROKEE NATION MANAGEMENT & CONSULTING LLC,740153235,2019,93041,74015
19758,2018-05-25 00:00:00,2018,IGF::CL::IGF NCEA QUALITY ASSURANCE SUPPORT,EPC13022,0096,DELIVERY ORDER,C,68,ENVIRONMENTAL PROTECTION AGENCY (EPA),68HE0C,CINCINNATI PROC OPS DIVISION (CPOD),6800,ENVIRONMENTAL PROTECTION AGENCY,CONT_AWD_0096_6800_EPC13022_6800,-8070.0,2018-05-25 14:06:40,541620,ENVIRONMENTAL CONSULTING SERVICES,1,6800,ENVIRONMENTAL PROTECTION AGENCY,LOS ALAMOS,3.0,USA,UNITED STATES,LOS ALAMOS,NEW MEXICO,NM,875443000,2018-07-12 00:00:00,2018-07-12 00:00:00,2018-05-25 00:00:00,LOS ALAMOS,623278447,NEPTUNE AND COMPANY INC,875443000,2018,87544,87544
21195,2019-10-04 00:00:00,2020,TECHNICAL SUPPORT FOR DEVELOPING AND APPROVING WATER QUALITY STANDARDS AND CRITERIA,EPC16017,EPC16017,DEFINITIVE CONTRACT,D,68,ENVIRONMENTAL PROTECTION AGENCY (EPA),68HERC,CINCINNATI ACQUISITION DIV (CAD),6800,ENVIRONMENTAL PROTECTION AGENCY,CONT_AWD_EPC16017_6800_-NONE-_-NONE-,84091.39,2019-10-04 17:05:31,541620,ENVIRONMENTAL CONSULTING SERVICES,1,6800,ENVIRONMENTAL PROTECTION AGENCY (EPA),SANDWICH,9.0,USA,UNITED STATES,BARNSTABLE,MASSACHUSETTS,MA,025635301,2020-07-31 00:00:00,2021-07-31 00:00:00,2019-10-04 00:00:00,SANDWICH,618387484,HORSLEY WITTEN GROUP INC,025635301,2019,02563,02563
21481,2018-08-02 00:00:00,2018,"IGF::OT::IGF  (ENFORCEMENT SUPPORT SERVICES (ESS) PR-R5-16-00505: ESS CONTRACT EP-S5-14-01 OIL DATABASE $10,000",EPS51401,0004,DELIVERY ORDER,C,68,ENVIRONMENTAL PROTECTION AGENCY (EPA),68HE05,REGION 5 CONTRACTING OFFICE,6800,ENVIRONMENTAL PROTECTION AGENCY,CONT_AWD_0004_6800_EPS51401_6800,7369.24,2018-08-07 09:24:52,541620,ENVIRONMENTAL CONSULTING SERVICES,1,6800,ENVIRONMENTAL PROTECTION AGENCY,CHICAGO,7.0,USA,UNITED STATES,COOK,ILLINOIS,IL,606043507,2019-09-29 00:00:00,2019-09-29 00:00:00,2018-08-02 00:00:00,LAKEWOOD,825211824,TOEROEK ASSOCIATES INC,802281552,2018,60604,80228
21874,2020-05-31 00:00:00,2020,"EXERCISE OPTION 2 FOR CONTRACT # EP-S9-1601 (TASK ORDER 39) PRP SEARCH AND ENFORCEMENT SUPPORT, MIDDLEFIELD-ELLIS-WHISMAN (MEW) MOUNTAIN VIEW, SANTA CLARA COUNTY, CA SUPERFUND ENFORCEMENT SUPPORT SERVICES (SESS)EPA REGIONS 7-10 MOD 6",EPS91601,68HE0918F0399,DELIVERY ORDER,C,68,ENVIRONMENTAL PROTECTION AGENCY (EPA),68HE09,REGION 9 CONTRACTING OFFICE,6800,ENVIRONMENTAL PROTECTION AGENCY,CONT_AWD_68HE0918F0399_6800_EPS91601_6800,-72792.48,2020-05-31 19:23:09,541620,ENVIRONMENTAL CONSULTING SERVICES,1,6800,ENVIRONMENTAL PROTECTION AGENCY,SAN FRANCISCO,12.0,USA,UNITED STATES,SAN FRANCISCO,CALIFORNIA,CA,941053902,2019-05-31 00:00:00,2019-05-31 00:00:00,2018-08-28 00:00:00,LAKEWOOD,825211824,TOEROEK ASSOCIATES INC,802281552,2020,94105,80228
22050,2019-11-13 00:00:00,2020,TECHNICAL SUPPORT FOR DEVELOPING AND APPROVING WATER QUALITY STANDARDS AND CRITERIA,EPC16017,EPC16017,DEFINITIVE CONTRACT,D,68,ENVIRONMENTAL PROTECTION AGENCY (EPA),68HERC,CINCINNATI ACQUISITION DIV (CAD),6800,ENVIRONMENTAL PROTECTION AGENCY,CONT_AWD_EPC16017_6800_-NONE-_-NONE-,-74189.42,2019-11-13 14:30:17,541620,ENVIRONMENTAL CONSULTING SERVICES,1,6800,ENVIRONMENTAL PROTECTION AGENCY (EPA),SANDWICH,9.0,USA,UNITED STATES,BARNSTABLE,MASSACHUSETTS,MA,025635301,2020-07-31 00:00:00,2021-07-31 00:00:00,2017-04-01 00:00:00,SANDWICH,618387484,HORSLEY WITTEN GROUP INC,025635301,2019,02563,02563
22240,2019-02-22 00:00:00,2019,IGF::CL::IGF TECHNICAL SYSTEMS AUDIT OF NRMRL/WSD PFAS PROJECTS,EPC18007,68HERC19F0084,DELIVERY ORDER,C,68,ENVIRONMENTAL PROTECTION AGENCY (EPA),68HERC,CINCINNATI ACQUISITION DIV (CAD),6800,ENVIRONMENTAL PROTECTION AGENCY,CONT_AWD_68HERC19F0084_6800_EPC18007_6800,14582.0,2019-02-22 16:17:45,541620,ENVIRONMENTAL CONSULTING SERVICES,1,6800,ENVIRONMENTAL PROTECTION AGENCY,LAKEWOOD,7.0,USA,UNITED STATES,JEFFERSON,COLORADO,CO,802154748,2019-06-21 00:00:00,2019-06-21 00:00:00,2019-02-22 00:00:00,LAKEWOOD,623278447,NEPTUNE AND COMPANY INC,802154748,2019,80215,80215
23376,2018-08-29 00:00:00,2018,OPTION YEAR 2 - PRP SEARCH SUPPORT FOR THE SAIA SITE (09WS)  OU00 ASSIST EPA IN THE EVALUATION OF PRPS FOR LIABILITY OF VOLATILE ORGANIC COMPOUNDS CONTAMINATION IN THE SOURCE AREA AND GROUND WATER PLUME EXISTING BENEATH AND/OR EXTENDING BEYOND THE SAIA PROPERTY BOUNDARY LINE.,EPS91601,68HE0918F0403,DELIVERY ORDER,C,68,ENVIRONMENTAL PROTECTION AGENCY (EPA),68HE09,REGION 9 CONTRACTING OFFICE,6800,ENVIRONMENTAL PROTECTION AGENCY,CONT_AWD_68HE0918F0403_6800_EPS91601_6800,20134.0,2018-08-30 11:14:05,541620,ENVIRONMENTAL CONSULTING SERVICES,1,6800,ENVIRONMENTAL PROTECTION AGENCY,SAN FRANCISCO,12.0,USA,UNITED STATES,SAN FRANCISCO,CALIFORNIA,CA,941053920,2019-05-31 00:00:00,2019-05-31 00:00:00,2018-08-29 00:00:00,LAKEWOOD,825211824,TOEROEK ASSOCIATES INC,802281552,2018,94105,80228
23481,2019-09-06 00:00:00,2019,TASK ORDER 6630 SAMPLING AND ANALYSIS SUPPORT AT FORMER ROGERS DELINTED COTTONSEED COMPANY,EPW12032,6630,DELIVERY ORDER,C,68,ENVIRONMENTAL PROTECTION AGENCY (EPA),68HERH,HEADQUARTERS ACQUISITION DIV (HQAD),6800,ENVIRONMENTAL PROTECTION AGENCY,CONT_AWD_6630_6800_EPW12032_6800,-4439.74,2019-09-06 11:31:04,541620,ENVIRONMENTAL CONSULTING SERVICES,1,6800,ENVIRONMENTAL PROTECTION AGENCY,LAKEWOOD,7.0,USA,UNITED STATES,JEFFERSON,COLORADO,CO,802281552,2016-12-15 00:00:00,2016-12-15 00:00:00,2019-09-06 00:00:00,LAKEWOOD,825211824,TOEROEK ASSOCIATES INC,802281552,2019,80228,80228
24937,2020-10-30 00:00:00,2021,DEOBLIGATION AND CLOSE OUT,EPS51401,0003,DELIVERY ORDER,C,68,ENVIRONMENTAL PROTECTION AGENCY (EPA),68HE05,REGION 5 CONTRACTING OFFICE,6800,ENVIRONMENTAL PROTECTION AGENCY,CONT_AWD_0003_6800_EPS51401_6800,-85925.16,2020-10-30 08:36:10,541620,ENVIRONMENTAL CONSULTING SERVICES,1,6800,ENVIRONMENTAL PROTECTION AGENCY,CHICAGO,7.0,USA,UNITED STATES,COOK,ILLINOIS,IL,606043507,2020-09-29 00:00:00,2020-09-29 00:00:00,2015-08-03 00:00:00,LAKEWOOD,825211824,TOEROEK ASSOCIATES INC,802281552,2020,60604,80228
25179,2020-06-02 00:00:00,2020,PRP SEARCH AND TITLE SEARCH AT ILLINOIS GULCH,EPS91601,68HE0818F0168,DELIVERY ORDER,C,68,ENVIRONMENTAL PROTECTION AGENCY (EPA),68HE08,REGION 8 CONTRACTING OFFICE,6800,ENVIRONMENTAL PROTECTION AGENCY,CONT_AWD_68HE0818F0168_6800_EPS91601_6800,-7836.73,2020-06-02 22:12:40,541620,ENVIRONMENTAL CONSULTING SERVICES,1,6800,ENVIRONMENTAL PROTECTION AGENCY,LAKEWOOD,7.0,USA,UNITED STATES,JEFFERSON,COLORADO,CO,802281552,2020-06-02 00:00:00,2020-06-02 00:00:00,2018-09-26 00:00:00,LAKEWOOD,825211824,TOEROEK ASSOCIATES INC,802281552,2020,80228,80228
25991,2019-08-06 00:00:00,2019,CLASSIFICATION AND STAFFING SUPPORT,TFSAFIN17D0004,20341219F00074,DELIVERY ORDER,C,20,DEPARTMENT OF THE TREASURY (TREAS),203412,ARC DIV PROC SVCS - FINCEN,2036,BUREAU OF THE FISCAL SERVICE,CONT_AWD_20341219F00074_2036_TFSAFIN17D0004_2036,426560.8,2019-08-06 11:42:19,541612,"HUMAN RESOURCES CONSULTING SERVICES (2007), HUMAN RESOURCES AND EXECUTIVE SEARCH CONSULTING SERVICES (2002)",1,2036,BUREAU OF THE FISCAL SERVICE,WASHINGTON,0.0,USA,UNITED STATES,DISTRICT OF COLUMBIA,DISTRICT OF COLUMBIA,DC,200363811,2020-08-06 00:00:00,2022-08-06 00:00:00,2019-08-07 00:00:00,CATOOSA,79089292,CHEROKEE NATION MANAGEMENT & CONSULTING LLC,740153235,2019,20036,74015
25996,2019-05-29 00:00:00,2019,IGF::OT::IGF PRP SEARCH AND ENFORCEMENT SUPPORT SAN FERNANDO VALLEY NORTH HOLLYWOOD (SFV-NHOU) SUPERFUND SITE OPTION YEAR 3,EPS91601,68HE0919F0050,DELIVERY ORDER,C,68,ENVIRONMENTAL PROTECTION AGENCY (EPA),68HE09,REGION 9 CONTRACTING OFFICE,6800,ENVIRONMENTAL PROTECTION AGENCY,CONT_AWD_68HE0919F0050_6800_EPS91601_6800,75007.0,2021-03-01 15:56:08,541620,ENVIRONMENTAL CONSULTING SERVICES,1,6800,ENVIRONMENTAL PROTECTION AGENCY,SAN FRANCISCO,12.0,USA,UNITED STATES,SAN FRANCISCO,CALIFORNIA,CA,941053920,2020-05-31 00:00:00,2020-05-31 00:00:00,2019-06-01 00:00:00,LAKEWOOD,825211824,TOEROEK ASSOCIATES INC,802281552,2019,94105,80228
27254,2020-08-10 00:00:00,2020,STATISTICAL AND R SUPPORT FOR THE EPA R USER GROUP 2020-2021,EPC18007,68HERH20F0380,DELIVERY ORDER,C,68,ENVIRONMENTAL PROTECTION AGENCY (EPA),68HERH,HEADQUARTERS ACQUISITION DIV (HQAD),6800,ENVIRONMENTAL PROTECTION AGENCY,CONT_AWD_68HERH20F0380_6800_EPC18007_6800,7000.0,2020-08-10 13:24:11,541620,ENVIRONMENTAL CONSULTING SERVICES,1,6800,ENVIRONMENTAL PROTECTION AGENCY,LAKEWOOD,7.0,USA,UNITED STATES,JEFFERSON,COLORADO,CO,802154748,2021-08-09 00:00:00,2021-08-09 00:00:00,2020-08-10 00:00:00,LAKEWOOD,623278447,NEPTUNE AND COMPANY INC,802154748,2020,80215,80215
27963,2020-09-09 00:00:00,2020,"X:NOGRN, PHYSICAL RESOURCE MONITORING, DATA MANAGEMENT AND STATISTICAL ANALYSIS SERVICES, EVER  THE PURPOSE OF THIS MODIFICATION IS TO COMPLETE A SUPPLEMENTAL AGREEMENT FOR WORK WITHIN SCOPE IAW FAR 52.212-4(C) CHANGES.",GS00F302GA,140P5419F0064,DELIVERY ORDER,C,14,DEPARTMENT OF THE INTERIOR (DOI),140P54,SER SOUTH MABO (54000),1443,NATIONAL PARK SERVICE,CONT_AWD_140P5419F0064_1443_GS00F302GA_4732,15954.0,2020-09-09 09:18:06,541620,ENVIRONMENTAL CONSULTING SERVICES,1,4732,FEDERAL ACQUISITION SERVICE,HOMESTEAD,26.0,USA,UNITED STATES,MIAMI-DADE,FLORIDA,FL,330343916,2020-12-15 00:00:00,2020-12-15 00:00:00,2019-08-26 00:00:00,CATOOSA,79089292,CHEROKEE NATION MANAGEMENT & CONSULTING LLC,740153235,2020,33034,74015
27991,2019-08-30 00:00:00,2019,MOD P00004: CHANGE ORDER FOR SUPERFUND  ENFORCEMENT  SUPPORT SERVICES (SESS)EPA REGIONS 7-10,EPS91601,68HE0718F0453,DELIVERY ORDER,C,68,ENVIRONMENTAL PROTECTION AGENCY (EPA),68HE07,REGION 7 CONTRACTING OFFICE,6800,ENVIRONMENTAL PROTECTION AGENCY,CONT_AWD_68HE0718F0453_6800_EPS91601_6800,4521.59,2019-08-30 11:11:23,541620,ENVIRONMENTAL CONSULTING SERVICES,1,6800,ENVIRONMENTAL PROTECTION AGENCY,LENEXA,3.0,USA,UNITED STATES,JOHNSON,KANSAS,KS,662191161,2020-05-31 00:00:00,2020-05-31 00:00:00,2019-08-30 00:00:00,LAKEWOOD,825211824,TOEROEK ASSOCIATES INC,802281552,2019,66219,80228
29098,2018-03-28 00:00:00,2018,THIS FUNDING IS FOR EXISTING CONTRACT #GS-10F-0304T WITH HORSLEY WITTEN FOR TRAINING AND EXERCISES FOR REGIONAL STAFF AND WATER UTILITY STAFF IN THE DISTRICT OF COLUMBIA.,GS10F0304T,EPG18300459,DELIVERY ORDER,C,68,ENVIRONMENTAL PROTECTION AGENCY (EPA),68HE03,REGION 3 CONTRACTING OFFICE,6800,ENVIRONMENTAL PROTECTION AGENCY,CONT_AWD_EPG18300459_6800_GS10F0304T_4730,330912.4,2018-03-29 16:39:48,541620,ENVIRONMENTAL CONSULTING SERVICES,1,4730,FEDERAL ACQUISITION SERVICE,PHILADELPHIA,2.0,USA,UNITED STATES,PHILADELPHIA,PENNSYLVANIA,PA,191032029,2019-03-31 00:00:00,2019-03-31 00:00:00,2018-03-28 00:00:00,SANDWICH,618387484,HORSLEY WITTEN GROUP INC,025635301,2018,19103,02563
29628,2019-12-10 00:00:00,2020,SHUYAK ISLAND BUNKER SPILL,DOCAB133C18BA0018,DOCAB133C18BA0018C0002,BPA CALL,A,13,DEPARTMENT OF COMMERCE (DOC),1305M3,DEPT OF COMMERCE NOAA,1330,NATIONAL OCEANIC AND ATMOSPHERIC ADMINISTRATION,CONT_AWD_DOCAB133C18BA0018C0002_1330_DOCAB133C18BA0018_1330,-6272.58,2021-01-22 17:58:43,541620,ENVIRONMENTAL CONSULTING SERVICES,1,1330,NATIONAL OCEANIC AND ATMOSPHERIC ADMINISTRATION,COLUMBIA,6.0,USA,UNITED STATES,RICHLAND,SOUTH CAROLINA,SC,292013137,2018-05-10 00:00:00,2018-05-10 00:00:00,2018-04-25 00:00:00,COLUMBIA,800953994,RESEARCH PLANNING INC,292013137,2019,29201,29201
29669,2018-02-14 00:00:00,2018,IGF::OT::IGF PRP SEARCH - REGION 10 EMERGENCY SUPPORT PRP SEARCH TASK ORDER. CONTRACT: EP-S9-16-01 TO# 1004,EPS91601,1004,DELIVERY ORDER,C,68,ENVIRONMENTAL PROTECTION AGENCY (EPA),68HE07,REGION 7 CONTRACTING OFFICE,6800,ENVIRONMENTAL PROTECTION AGENCY,CONT_AWD_1004_6800_EPS91601_6800,19597.0,2018-02-14 14:15:53,541620,ENVIRONMENTAL CONSULTING SERVICES,1,6800,ENVIRONMENTAL PROTECTION AGENCY,SEATTLE,7.0,USA,UNITED STATES,KING,WASHINGTON,WA,981012370,2018-05-31 00:00:00,2018-05-31 00:00:00,2018-02-14 00:00:00,LAKEWOOD,825211824,TOEROEK ASSOCIATES INC,802281552,2018,98101,80228
29699,2018-03-09 00:00:00,2018,IGF::OT::IGF REGION 9 ABILITY TO PAY (ATP)AND FINANCIAL ASSURANCE (FA)MOD 5,EPS91601,9012,DELIVERY ORDER,C,68,ENVIRONMENTAL PROTECTION AGENCY (EPA),68HE09,REGION 9 CONTRACTING OFFICE,6800,ENVIRONMENTAL PROTECTION AGENCY,CONT_AWD_9012_6800_EPS91601_6800,-19738.65,2018-03-09 18:41:30,541620,ENVIRONMENTAL CONSULTING SERVICES,1,6800,ENVIRONMENTAL PROTECTION AGENCY,SAN FRANCISCO,12.0,USA,UNITED STATES,SAN FRANCISCO,CALIFORNIA,CA,941053920,2017-11-30 00:00:00,2018-03-09 00:00:00,2018-03-09 00:00:00,LAKEWOOD,825211824,TOEROEK ASSOCIATES INC,802281552,2018,94105,80228
29846,2019-12-02 00:00:00,2020,DEVELOPMENT OF AN INTEGRATED ECOSYSTEM FRAMEWORK FOR THE SOUTHERN NEW ENGLAND PROGRAM REGION,68HE0118A0003,68HE0119F0053,BPA CALL,A,68,ENVIRONMENTAL PROTECTION AGENCY (EPA),68HE01,REGION 1 CONTRACTING OFFICE,6800,ENVIRONMENTAL PROTECTION AGENCY,CONT_AWD_68HE0119F0053_6800_68HE0118A0003_6800,53091.0,2019-12-02 09:07:13,541620,ENVIRONMENTAL CONSULTING SERVICES,1,6800,ENVIRONMENTAL PROTECTION AGENCY,BOSTON,8.0,USA,UNITED STATES,SUFFOLK,MASSACHUSETTS,MA,021093912,2020-09-29 00:00:00,2020-09-29 00:00:00,2019-09-30 00:00:00,TRAVERSE CITY,800884181,GREAT LAKES ENVIRONMENTAL CENTER INC,496863458,2019,02109,49686
29963,2018-08-27 00:00:00,2018,IGF::OT::IGF CALL ORDER FOR SCAT DIVER,DOCAB133C18BA0018,1305M318FNCNR0109,BPA CALL,A,13,DEPARTMENT OF COMMERCE (DOC),1305M3,DEPT OF COMMERCE NOAA,1330,NATIONAL OCEANIC AND ATMOSPHERIC ADMINISTRATION,CONT_AWD_1305M318FNCNR0109_1330_DOCAB133C18BA0018_1330,50000.0,2018-11-30 14:24:44,541620,ENVIRONMENTAL CONSULTING SERVICES,1,1330,NATIONAL OCEANIC AND ATMOSPHERIC ADMINISTRATION,COLUMBIA,6.0,USA,UNITED STATES,RICHLAND,SOUTH CAROLINA,SC,292013137,2019-08-29 00:00:00,2019-08-29 00:00:00,2018-08-27 00:00:00,COLUMBIA,800953994,RESEARCH PLANNING INC,292013137,2018,29201,29201
30269,2020-04-14 00:00:00,2020,CLOSELY ASSOCIATED - TECHNICAL SUPPORT FOR NATIONAL AQUATIC RESOURCE SURVEYS: 2018-2019 NATIONAL RIVERS AND STREAMS ASSESSMENT: LOGISTICS SUPPORT AND TRAINING DEOBLIGATE UNUSED FUNDING,EPC16008,0007,DELIVERY ORDER,C,68,ENVIRONMENTAL PROTECTION AGENCY (EPA),68HERC,CINCINNATI ACQUISITION DIV (CAD),6800,ENVIRONMENTAL PROTECTION AGENCY,CONT_AWD_0007_6800_EPC16008_6800,-484468.26,2020-04-14 15:24:58,541620,ENVIRONMENTAL CONSULTING SERVICES,1,6800,ENVIRONMENTAL PROTECTION AGENCY,TRAVERSE CITY,1.0,USA,UNITED STATES,GRAND TRAVERSE,MICHIGAN,MI,496863458,2020-01-31 00:00:00,2020-04-30 00:00:00,2017-09-21 00:00:00,TRAVERSE CITY,800884181,GREAT LAKES ENVIRONMENTAL CENTER INC,496863458,2020,49686,49686
